
Forward benchmarks (median execution time; plan/setup excluded)
FFmpeg AVTX native dispatch and an SSE4.2-and-below restricted plan are reported through N=131072.
         N  algorithm                   median us    speedup   theory FLOPs     GFLOP/s  samples
       128  radix-2                         1.866     1.000x           3216       1.723    16384
       128  split-radix                     1.924     0.970x           2824       1.468    16384
       128  tangent                         1.189     1.569x           2792       2.348    16384
       128  tangent-x86-asm                 0.221     8.443x           2792      12.633    16384
       128  tangent-sse                     0.515     3.623x           2792       5.421    16384
       128  tangent-sse2                    0.515     3.623x           2792       5.421    16384
       128  tangent-sse3                    0.512     3.645x           2792       5.453    16384
       128  tangent-ssse3                   0.513     3.637x           2792       5.442    16384
       128  tangent-sse4.1                  0.527     3.541x           2792       5.298    16384
       128  tangent-sse4.2                  0.513     3.637x           2792       5.442    16384
       128  lane4-c                         0.982     1.900x            n/a         n/a    16384
       128  lane4-sse                       0.256     7.289x            n/a         n/a    16384
       128  lane4-sse2                      0.297     6.283x            n/a         n/a    16384
       128  lane4-sse3                      0.249     7.494x            n/a         n/a    16384
       128  lane4-ssse3                     0.249     7.494x            n/a         n/a    16384
       128  lane4-sse4.1                    0.251     7.434x            n/a         n/a    16384
       128  lane4-sse4.2                    0.251     7.434x            n/a         n/a    16384
       128  lane4-avx                       0.145    12.869x            n/a         n/a    16384
       128  lane4-avx-fma                   0.134    13.925x            n/a         n/a    16384
       128  lane4-avx2                      0.138    13.522x            n/a         n/a    16384
       128  lane4-avx2-fma                  0.137    13.620x            n/a         n/a    16384
       128  lane2-sse                       0.244     7.648x            n/a         n/a    16384
       128  ffmpeg-avtx                     0.209     8.928x            n/a         n/a    16384
       128  lane8-avx2-fma                  0.168    11.107x            n/a         n/a    16384
       128  hw-sse-auto                     0.252     7.405x            n/a         n/a    16384
       128  ffmpeg-sse                      0.855     2.182x            n/a         n/a    16384
       128  scaled-h16-hybrid               1.590     1.174x            n/a         n/a    16384
       128  scaled-h16-paired-avx2          1.567     1.191x            n/a         n/a    16384

       256  radix-2                         4.011     1.000x           7696       1.919    16384
       256  split-radix                     4.311     0.930x           6664       1.546    16384
       256  tangent                         2.587     1.550x           6552       2.533    16384
       256  tangent-x86-asm                 0.456     8.796x           6552      14.368    16384
       256  tangent-sse                     1.084     3.700x           6552       6.044    16384
       256  tangent-sse2                    1.072     3.742x           6552       6.112    16384
       256  tangent-sse3                    1.079     3.717x           6552       6.072    16384
       256  tangent-ssse3                   1.050     3.820x           6552       6.240    16384
       256  tangent-sse4.1                  1.085     3.697x           6552       6.039    16384
       256  tangent-sse4.2                  1.051     3.816x           6552       6.234    16384
       256  lane4-c                         2.223     1.804x            n/a         n/a    16384
       256  lane4-sse                       0.477     8.409x            n/a         n/a    16384
       256  lane4-sse2                      0.477     8.409x            n/a         n/a    16384
       256  lane4-sse3                      0.491     8.169x            n/a         n/a    16384
       256  lane4-ssse3                     0.702     5.714x            n/a         n/a    16384
       256  lane4-sse4.1                    0.476     8.426x            n/a         n/a    16384
       256  lane4-sse4.2                    0.493     8.136x            n/a         n/a    16384
       256  lane4-avx                       0.270    14.856x            n/a         n/a    16384
       256  lane4-avx-fma                   0.252    15.917x            n/a         n/a    16384
       256  lane4-avx2                      0.258    15.547x            n/a         n/a    16384
       256  lane4-avx2-fma                  0.334    12.009x            n/a         n/a    16384
       256  lane2-sse                       0.489     8.202x            n/a         n/a    16384
       256  ffmpeg-avtx                     0.582     6.892x            n/a         n/a    16384
       256  lane8-avx2-fma                  0.350    11.460x            n/a         n/a    16384
       256  hw-sse-auto                     0.474     8.462x            n/a         n/a    16384
       256  ffmpeg-sse                      1.971     2.035x            n/a         n/a    16384
       256  scaled-h16-hybrid               3.277     1.224x            n/a         n/a    16384
       256  scaled-h16-paired-avx2          3.277     1.224x            n/a         n/a    16384

       512  radix-2                         9.110     1.000x          17936       1.969     9159
       512  split-radix                     9.375     0.972x          15368       1.639     8719
       512  tangent                         5.609     1.624x          15048       2.683    14605
       512  tangent-x86-asm                 1.042     8.743x          15048      14.441    16384
       512  tangent-sse                     2.328     3.913x          15048       6.464    16384
       512  tangent-sse2                    2.323     3.922x          15048       6.478    16384
       512  tangent-sse3                    2.340     3.893x          15048       6.431    16384
       512  tangent-ssse3                   2.272     4.010x          15048       6.623    16384
       512  tangent-sse4.1                  2.276     4.003x          15048       6.612    16384
       512  tangent-sse4.2                  2.280     3.996x          15048       6.600    16384
       512  lane4-c                         4.794     1.900x            n/a         n/a    16384
       512  lane4-sse                       1.082     8.420x            n/a         n/a    16384
       512  lane4-sse2                      1.114     8.178x            n/a         n/a    16384
       512  lane4-sse3                      1.081     8.427x            n/a         n/a    16384
       512  lane4-ssse3                     1.115     8.170x            n/a         n/a    16384
       512  lane4-sse4.1                    1.082     8.420x            n/a         n/a    16384
       512  lane4-sse4.2                    1.083     8.412x            n/a         n/a    16384
       512  lane4-avx                       0.610    14.934x            n/a         n/a    16384
       512  lane4-avx-fma                   0.558    16.326x            n/a         n/a    16384
       512  lane4-avx2                      0.587    15.520x            n/a         n/a    16384
       512  lane4-avx2-fma                  0.574    15.871x            n/a         n/a    16384
       512  lane2-sse                       1.135     8.026x            n/a         n/a    16384
       512  ffmpeg-avtx                     0.903    10.089x            n/a         n/a    16384
       512  lane8-avx2-fma                  0.671    13.577x            n/a         n/a    16384
       512  hw-sse-auto                     1.109     8.215x            n/a         n/a    16384
       512  ffmpeg-sse                      4.216     2.161x            n/a         n/a    16384
       512  scaled-h16-hybrid               7.187     1.268x            n/a         n/a    11743
       512  scaled-h16-paired-avx2          6.769     1.346x            n/a         n/a    12500

      1024  radix-2                        19.967     1.000x          40976       2.052     4429
      1024  split-radix                    20.220     0.987x          34824       1.722     4169
