FFmpeg AVTX cycles/execute (median, adapter copies included)
         N  median cycles   iterations  samples
        16         84.968        65536       31
        32        122.668        32768       31
        64        259.266        16384       31
       128        518.851         8192       31
       256       1131.997         4096       31
       512       2306.110         2048       31
      1024       5278.949         1024       31
      2048      12203.320          512       31
      4096      28940.625          256       31
      8192      68057.938          128       31
