
Forward benchmarks (median execution time; plan/setup excluded)
FFmpeg AVTX native dispatch and an SSE4.2-and-below restricted plan are reported through N=131072.
         N  algorithm                   median us    speedup   theory FLOPs     GFLOP/s  samples
        16  radix-2                         0.172     1.000x            176       1.023    16384
        16  split-radix                     0.197     0.873x            168       0.853    16384
        16  tangent                         0.120     1.433x            168       1.400    16384
        16  tangent-x86-asm                 0.046     3.739x            168       3.652    16384
        16  tangent-sse                     0.086     2.000x            168       1.953    16384
        16  tangent-sse2                    0.086     2.000x            168       1.953    16384
        16  tangent-sse3                    0.083     2.072x            168       2.024    16384
        16  tangent-ssse3                   0.084     2.048x            168       2.000    16384
        16  tangent-sse4.1                  0.083     2.072x            168       2.024    16384
        16  tangent-sse4.2                  0.084     2.048x            168       2.000    16384
        16  lane4-c                         0.114     1.509x            n/a         n/a    16384
        16  lane4-sse                       0.046     3.739x            n/a         n/a    16384
        16  lane4-sse2                      0.067     2.567x            n/a         n/a    16384
        16  lane4-sse3                      0.046     3.739x            n/a         n/a    16384
        16  lane4-ssse3                     0.046     3.739x            n/a         n/a    16384
        16  lane4-sse4.1                    0.046     3.739x            n/a         n/a    16384
        16  lane4-sse4.2                    0.056     3.071x            n/a         n/a    16384
        16  lane4-avx                       0.053     3.245x            n/a         n/a    16384
        16  lane4-avx-fma                   0.038     4.526x            n/a         n/a    16384
        16  lane4-avx2                      0.038     4.526x            n/a         n/a    16384
        16  lane4-avx2-fma                  0.038     4.526x            n/a         n/a    16384
        16  lane2-sse                       0.067     2.567x            n/a         n/a    16384
        16  ffmpeg-avtx                     0.059     2.915x            n/a         n/a    16384
        16  lane8-avx2-fma                  0.049     3.510x            n/a         n/a    16384
        16  hw-sse-auto                     0.048     3.583x            n/a         n/a    16384
        16  ffmpeg-sse                      0.124     1.387x            n/a         n/a    16384
        16  scaled-h16-hybrid               0.203     0.847x            n/a         n/a    16384
        16  scaled-h16-paired-avx2          0.197     0.873x            n/a         n/a    16384

        32  radix-2                         0.371     1.000x            496       1.337    16384
        32  split-radix                     0.549     0.676x            456       0.831    16384
        32  tangent                         0.395     0.939x            456       1.154    16384
        32  tangent-x86-asm                 0.067     5.537x            456       6.806    16384
        32  tangent-sse                     0.138     2.688x            456       3.304    16384
        32  tangent-sse2                    0.139     2.669x            456       3.281    16384
