FFmpeg AVTX cycles/execute (median, adapter copies included)
         N  median cycles   iterations  samples
        16         93.225        65536       31
        32        126.944        32768       31
        64        277.962        16384       31
       128        526.315         8192       31
       256       1133.948         4096       31
       512       2397.197         2048       31
      1024       5537.490         1024       31
      2048      12374.227          512       31
      4096      29714.469          256       31
      8192      69345.203          128       31
