n,algorithm,median_us,minimum_us,samples,theoretical_flops,speedup_vs_radix2,checksum
16,radix-2,0.168000000,0.165000000,16384,176,1.000000,0.57389920949935913
16,split-radix,0.197000000,0.192000000,16384,168,0.852792,0.57389920949935913
16,tangent,0.188000000,0.137000000,16384,168,0.893617,0.57389920949935913
16,tangent-x86-asm,0.065000000,0.046000000,16384,168,2.584615,0.57389932870864868
16,tangent-sse,0.083000000,0.080000000,16384,168,2.024096,0.57389920949935913
16,tangent-sse2,0.083000000,0.081000000,16384,168,2.024096,0.57389920949935913
16,tangent-sse3,0.084000000,0.080000000,16384,168,2.000000,0.57389920949935913
16,tangent-ssse3,0.086000000,0.083000000,16384,168,1.953488,0.57389920949935913
16,tangent-sse4.1,0.086000000,0.083000000,16384,168,1.953488,0.57389920949935913
16,tangent-sse4.2,0.083000000,0.079000000,16384,168,2.024096,0.57389920949935913
16,lane4-c,0.117000000,0.114000000,16384,0,1.435897,0.57389926910400391
16,lane4-sse,0.045000000,0.043000000,16384,0,3.733333,0.57389926910400391
16,lane4-sse2,0.046000000,0.043000000,16384,0,3.652174,0.57389926910400391
16,lane4-sse3,0.048000000,0.045000000,16384,0,3.500000,0.57389926910400391
16,lane4-ssse3,0.046000000,0.043000000,16384,0,3.652174,0.57389926910400391
16,lane4-sse4.1,0.047000000,0.044000000,16384,0,3.574468,0.57389926910400391
16,lane4-sse4.2,0.047000000,0.043000000,16384,0,3.574468,0.57389926910400391
16,lane4-avx,0.038000000,0.036000000,16384,0,4.421053,0.57389926910400391
16,lane4-avx-fma,0.038000000,0.036000000,16384,0,4.421053,0.57389926910400391
16,lane4-avx2,0.039000000,0.037000000,16384,0,4.307692,0.57389926910400391
16,lane4-avx2-fma,0.038000000,0.036000000,16384,0,4.421053,0.57389926910400391
16,lane2-sse,0.046000000,0.043000000,16384,0,3.652174,0.57389920949935913
16,ffmpeg-avtx,0.059000000,0.056000000,16384,0,2.847458,0.57389920949935913
16,lane8-avx2-fma,0.046000000,0.042000000,16384,0,3.652174,0.57389932870864868
16,hw-sse-auto,0.048000000,0.046000000,16384,0,3.500000,0.57389920949935913
16,ffmpeg-sse,0.104000000,0.100000000,16384,0,1.615385,0.57389920949935913
16,scaled-h16-hybrid,0.197000000,0.193000000,16384,0,0.852792,0.57389920949935913
16,scaled-h16-paired-avx2,0.197000000,0.193000000,16384,0,0.852792,0.57389920949935913
32,radix-2,0.368000000,0.354000000,16384,496,1.000000,-4.2921977043151855
32,split-radix,0.408000000,0.401000000,16384,456,0.901961,-4.2921972274780273
32,tangent,0.243000000,0.237000000,16384,456,1.514403,-4.2921981811523438
32,tangent-x86-asm,0.066000000,0.063000000,16384,456,5.575758,-4.2921981811523438
32,tangent-sse,0.140000000,0.135000000,16384,456,2.628571,-4.2921981811523438
32,tangent-sse2,0.139000000,0.135000000,16384,456,2.647482,-4.2921981811523438
