AVX2 gather versus scalar permutation (median cycles/copy)
       N     vgatherdpd   scalar loads  scalar gain
      16         21.791         19.362       12.54%
      32         39.514         37.050        6.65%
      64         77.216         73.373        5.24%
     128        151.285        140.682        7.54%
     256        294.316        286.590        2.70%
     512        591.974        601.276       -1.55%
    1024       1141.669       1169.141       -2.35%
    2048       2296.542       2366.219       -2.94%
    4096       5170.016       5781.061      -10.57%
    8192      19668.787      21801.361       -9.78%
