Lane4 comparison cycles/execute (median; public in-place API)
         N algorithm           median cycles   iterations
        16 lane4-avx                  49.477       131072
        16 lane4-avx-fma              46.208       131072
        16 lane4-avx2                 46.949       131072
        16 lane4-avx2-fma             47.642       131072
        16 lane4-sse                  69.550       131072
        16 ffmpeg-avtx                91.631       131072
        32 lane4-avx                  76.357        65536
        32 lane4-avx-fma              79.400        65536
        32 lane4-avx2                 78.346        65536
        32 lane4-avx2-fma             75.667        65536
        32 lane4-sse                 142.430        65536
        32 ffmpeg-avtx               140.934        65536
        64 lane4-avx                 160.598        32768
        64 lane4-avx-fma             162.528        32768
        64 lane4-avx2                159.132        32768
        64 lane4-avx2-fma            155.711        32768
        64 lane4-sse                 291.190        32768
        64 ffmpeg-avtx               281.086        32768
       128 lane4-avx                 317.304        16384
       128 lane4-avx-fma             310.145        16384
       128 lane4-avx2                375.830        16384
       128 lane4-avx2-fma            304.978        16384
       128 lane4-sse                 608.372        16384
       128 ffmpeg-avtx               501.827        16384
       256 lane4-avx                 687.070         8192
       256 lane4-avx-fma             619.292         8192
       256 lane4-avx2                643.344         8192
       256 lane4-avx2-fma            639.252         8192
       256 lane4-sse                1282.825         8192
       256 ffmpeg-avtx              1104.650         8192
       512 lane4-avx                1501.279         4096
       512 lane4-avx-fma            1446.169         4096
       512 lane4-avx2               1514.576         4096
       512 lane4-avx2-fma           1423.559         4096
       512 lane4-sse                3198.728         4096
       512 ffmpeg-avtx              2351.253         4096
      1024 lane4-avx                3501.085         2048
      1024 lane4-avx-fma            3277.741         2048
      1024 lane4-avx2               3505.423         2048
      1024 lane4-avx2-fma           3281.711         2048
      1024 lane4-sse                6444.243         2048
      1024 ffmpeg-avtx              5498.215         2048
      2048 lane4-avx                9201.475         1024
      2048 lane4-avx-fma            8889.631         1024
      2048 lane4-avx2               9147.150         1024
      2048 lane4-avx2-fma           8966.361         1024
      2048 lane4-sse               14602.473         1024
      2048 ffmpeg-avtx             12860.844         1024
      4096 lane4-avx               21917.566          512
      4096 lane4-avx-fma           21102.691          512
      4096 lane4-avx2              21840.938          512
      4096 lane4-avx2-fma          21325.840          512
      4096 lane4-sse               31969.461          512
      4096 ffmpeg-avtx             29324.578          512
      8192 lane4-avx               49206.797          256
      8192 lane4-avx-fma           48607.711          256
      8192 lane4-avx2              50594.930          256
      8192 lane4-avx2-fma          48518.977          256
      8192 lane4-sse               75094.328          256
      8192 ffmpeg-avtx             70226.773          256
