Lane4 comparison cycles/execute (median; public in-place API)
         N algorithm           median cycles   iterations
        16 lane4-avx                  48.775       131072
        16 lane4-avx-fma              45.607       131072
        16 lane4-avx2                 43.252       131072
        16 lane4-avx2-fma             46.411       131072
        16 lane4-sse                  67.290       131072
        16 ffmpeg-avtx                89.477       131072
        32 lane4-avx                  75.319        65536
        32 lane4-avx-fma              78.856        65536
        32 lane4-avx2                 82.359        65536
        32 lane4-avx2-fma             77.826        65536
        32 lane4-sse                 145.129        65536
        32 ffmpeg-avtx               141.020        65536
        64 lane4-avx                 162.518        32768
        64 lane4-avx-fma             156.674        32768
        64 lane4-avx2                165.364        32768
        64 lane4-avx2-fma            156.607        32768
        64 lane4-sse                 301.304        32768
        64 ffmpeg-avtx               288.273        32768
       128 lane4-avx                 328.318        16384
       128 lane4-avx-fma             319.622        16384
       128 lane4-avx2                319.922        16384
       128 lane4-avx2-fma            305.734        16384
       128 lane4-sse                 640.164        16384
       128 ffmpeg-avtx               510.873        16384
       256 lane4-avx                 704.285         8192
       256 lane4-avx-fma             628.062         8192
       256 lane4-avx2                662.940         8192
       256 lane4-avx2-fma            620.103         8192
       256 lane4-sse                1351.861         8192
       256 ffmpeg-avtx              1706.973         8192
       512 lane4-avx                1520.228         4096
       512 lane4-avx-fma            1443.130         4096
       512 lane4-avx2               1523.098         4096
       512 lane4-avx2-fma           1439.021         4096
       512 lane4-sse                2977.656         4096
       512 ffmpeg-avtx              2323.942         4096
      1024 lane4-avx                3480.791         2048
      1024 lane4-avx-fma            3331.496         2048
      1024 lane4-avx2               3543.828         2048
      1024 lane4-avx2-fma           3301.055         2048
      1024 lane4-sse                6189.753         2048
      1024 ffmpeg-avtx              5370.170         2048
      2048 lane4-avx                9540.365         1024
      2048 lane4-avx-fma            8886.445         1024
      2048 lane4-avx2               9634.902         1024
      2048 lane4-avx2-fma           9026.271         1024
      2048 lane4-sse               15413.770         1024
      2048 ffmpeg-avtx             12293.766         1024
      4096 lane4-avx               21892.285          512
      4096 lane4-avx-fma           22033.340          512
      4096 lane4-avx2              22287.406          512
      4096 lane4-avx2-fma          21369.113          512
      4096 lane4-sse               32477.902          512
      4096 ffmpeg-avtx             31293.922          512
      8192 lane4-avx               50609.391          256
      8192 lane4-avx-fma           48649.984          256
      8192 lane4-avx2              52784.461          256
      8192 lane4-avx2-fma          50323.797          256
      8192 lane4-sse               75947.172          256
      8192 ffmpeg-avtx             74177.703          256
