FFmpeg AVTX cycles/execute (median, adapter copies included)
         N  median cycles   iterations  samples
        16         90.383        65536       31
        32        125.180        32768       31
        64        274.707        16384       31
       128        521.000         8192       31
       256       1141.422         4096       31
       512       3276.686         2048       31
      1024       8532.012         1024       31
      2048      13528.293          512       31
      4096      29580.516          256       31
      8192      68731.266          128       31
