FFT cycles/execute (median; public in-place API)
         N algorithm           median cycles   iterations
        16 lane4-avx2-fma             46.487       131072
        16 lane2-sse                  63.189       131072
        16 lane4-sse                  68.336       131072
        16 hw-sse-auto                66.814       131072
        16 tangent-x86-asm            67.205       131072
        16 tangent-sse               168.483       131072
        16 tangent-sse3              170.202       131072
        16 ffmpeg-avtx                92.667       131072
        16 ffmpeg-sse                221.880       131072
        32 lane4-avx2-fma             79.433        65536
        32 lane2-sse                 135.327        65536
        32 lane4-sse                 145.791        65536
        32 hw-sse-auto               137.675        65536
        32 tangent-x86-asm           130.431        65536
        32 tangent-sse               358.162        65536
        32 tangent-sse3              339.015        65536
        32 ffmpeg-avtx               146.257        65536
        32 ffmpeg-sse                531.025        65536
        64 lane4-avx2-fma            159.492        32768
        64 lane2-sse                 257.710        32768
        64 lane4-sse                 286.945        32768
        64 hw-sse-auto               266.250        32768
        64 tangent-x86-asm           261.149        32768
        64 tangent-sse               680.642        32768
        64 tangent-sse3              659.186        32768
        64 ffmpeg-avtx               285.741        32768
        64 ffmpeg-sse               1155.869        32768
       128 lane4-avx2-fma            309.622        16384
       128 lane2-sse                 632.990        16384
       128 lane4-sse                 637.759        16384
       128 hw-sse-auto               604.556        16384
       128 tangent-x86-asm           555.830        16384
       128 tangent-sse              1373.838        16384
       128 tangent-sse3             1377.216        16384
       128 ffmpeg-avtx               507.463        16384
       128 ffmpeg-sse               2385.958        16384
       256 lane4-avx2-fma            622.180         8192
       256 lane2-sse                1306.411         8192
       256 lane4-sse                1271.312         8192
       256 hw-sse-auto              1289.037         8192
       256 tangent-x86-asm          1490.228         8192
       256 tangent-sse              4270.773         8192
       256 tangent-sse3             2958.311         8192
       256 ffmpeg-avtx              1388.428         8192
       256 ffmpeg-sse               6149.185         8192
       512 lane4-avx2-fma           1455.101         4096
       512 lane2-sse                3214.865         4096
       512 lane4-sse                2936.517         4096
       512 hw-sse-auto              2990.277         4096
       512 tangent-x86-asm          2832.999         4096
       512 tangent-sse              6479.346         4096
       512 tangent-sse3             6437.993         4096
       512 ffmpeg-avtx              2377.962         4096
       512 ffmpeg-sse              12795.546         4096
      1024 lane4-avx2-fma           3277.197         2048
      1024 lane2-sse                7155.704         2048
      1024 lane4-sse                6184.500         2048
      1024 hw-sse-auto              6040.841         2048
      1024 tangent-x86-asm          6257.590         2048
      1024 tangent-sse             14151.078         2048
      1024 tangent-sse3            14012.227         2048
      1024 ffmpeg-avtx              5475.268         2048
      1024 ffmpeg-sse              27599.100         2048
      2048 lane4-avx2-fma           8868.297         1024
      2048 lane2-sse               16962.609         1024
      2048 lane4-sse               14708.982         1024
      2048 hw-sse-auto             14660.268         1024
      2048 tangent-x86-asm         13087.738         1024
      2048 tangent-sse             29685.742         1024
      2048 tangent-sse3            28552.566         1024
      2048 ffmpeg-avtx             12052.277         1024
      2048 ffmpeg-sse              58673.396         1024
      4096 lane4-avx2-fma          21079.594          512
      4096 lane2-sse               36834.008          512
      4096 lane4-sse               32864.297          512
      4096 hw-sse-auto             31651.012          512
      4096 tangent-x86-asm         31451.773          512
      4096 tangent-sse             62465.352          512
      4096 tangent-sse3            63309.320          512
      4096 ffmpeg-avtx             30884.227          512
      4096 ffmpeg-sse             140187.637          512
      8192 lane4-avx2-fma          48589.273          256
      8192 lane2-sse               85813.094          256
      8192 lane4-sse               74806.695          256
      8192 hw-sse-auto             75263.070          256
      8192 tangent-x86-asm         74457.531          256
      8192 tangent-sse            149286.375          256
      8192 tangent-sse3           140472.156          256
      8192 ffmpeg-avtx             69173.633          256
      8192 ffmpeg-sse             287600.320          256
