n,algorithm,median_us,minimum_us,maximum_us,spread_percent
128,radix-2,1.813000000,1.803000000,1.866000000,3.494
128,split-radix,1.924000000,1.920000000,1.924000000,0.208
128,tangent,1.189000000,1.156000000,1.193000000,3.201
128,tangent-x86-asm,0.227000000,0.221000000,0.240000000,8.597
128,tangent-sse,0.515000000,0.515000000,0.529000000,2.718
128,tangent-sse2,0.515000000,0.515000000,0.515000000,0.000
128,tangent-sse3,0.527000000,0.512000000,0.529000000,3.320
128,tangent-ssse3,0.513000000,0.512000000,0.513000000,0.195
128,tangent-sse4.1,0.527000000,0.527000000,0.529000000,0.380
128,tangent-sse4.2,0.513000000,0.512000000,0.528000000,3.125
128,lane4-c,0.982000000,0.981000000,0.982000000,0.102
128,lane4-sse,0.256000000,0.254000000,0.256000000,0.787
128,lane4-sse2,0.256000000,0.250000000,0.297000000,18.800
128,lane4-sse3,0.250000000,0.249000000,0.251000000,0.803
128,lane4-ssse3,0.248000000,0.248000000,0.249000000,0.403
128,lane4-sse4.1,0.251000000,0.250000000,0.358000000,43.200
128,lane4-sse4.2,0.256000000,0.251000000,0.258000000,2.789
128,lane4-avx,0.142000000,0.141000000,0.145000000,2.837
128,lane4-avx-fma,0.134000000,0.134000000,0.135000000,0.746
128,lane4-avx2,0.142000000,0.138000000,0.184000000,33.333
128,lane4-avx2-fma,0.142000000,0.137000000,0.143000000,4.380
128,lane2-sse,0.244000000,0.244000000,0.244000000,0.000
128,ffmpeg-avtx,0.209000000,0.208000000,0.210000000,0.962
128,lane8-avx2-fma,0.168000000,0.165000000,0.174000000,5.455
128,hw-sse-auto,0.251000000,0.245000000,0.252000000,2.857
128,ffmpeg-sse,0.869000000,0.855000000,0.882000000,3.158
128,scaled-h16-hybrid,1.590000000,1.584000000,1.625000000,2.588
128,scaled-h16-paired-avx2,1.567000000,1.562000000,1.874000000,19.974
256,radix-2,4.020000000,4.011000000,4.127000000,2.892
256,split-radix,4.324000000,4.311000000,4.327000000,0.371
256,tangent,2.592000000,2.587000000,2.593000000,0.232
256,tangent-x86-asm,0.452000000,0.447000000,0.456000000,2.013
256,tangent-sse,1.076000000,1.076000000,1.084000000,0.743
256,tangent-sse2,1.072000000,1.072000000,1.103000000,2.892
256,tangent-sse3,1.071000000,1.053000000,1.079000000,2.469
256,tangent-ssse3,1.051000000,1.050000000,1.086000000,3.429
256,tangent-sse4.1,1.058000000,1.049000000,1.085000000,3.432
256,tangent-sse4.2,1.051000000,1.051000000,1.467000000,39.581
256,lane4-c,2.222000000,2.156000000,2.223000000,3.108
256,lane4-sse,0.477000000,0.474000000,0.679000000,43.249
256,lane4-sse2,0.477000000,0.473000000,0.477000000,0.846
256,lane4-sse3,0.477000000,0.477000000,0.491000000,2.935
256,lane4-ssse3,0.646000000,0.490000000,0.702000000,43.265
256,lane4-sse4.1,0.487000000,0.476000000,0.491000000,3.151
256,lane4-sse4.2,0.477000000,0.477000000,0.493000000,3.354
256,lane4-avx,0.267000000,0.259000000,0.270000000,4.247
256,lane4-avx-fma,0.252000000,0.247000000,0.329000000,33.198
256,lane4-avx2,0.258000000,0.256000000,0.258000000,0.781
256,lane4-avx2-fma,0.248000000,0.247000000,0.334000000,35.223
256,lane2-sse,0.489000000,0.489000000,0.504000000,3.067
256,ffmpeg-avtx,0.439000000,0.417000000,0.582000000,39.568
256,lane8-avx2-fma,0.352000000,0.350000000,0.352000000,0.571
256,hw-sse-auto,0.474000000,0.470000000,0.630000000,34.043
256,ffmpeg-sse,1.953000000,1.940000000,1.971000000,1.598
256,scaled-h16-hybrid,3.284000000,3.277000000,3.294000000,0.519
256,scaled-h16-paired-avx2,3.284000000,3.277000000,3.284000000,0.214
512,radix-2,9.062000000,8.850000000,9.110000000,2.938
512,split-radix,9.253000000,9.107000000,9.375000000,2.943
512,tangent,5.736000000,5.609000000,5.767000000,2.817
512,tangent-x86-asm,1.042000000,1.024000000,1.053000000,2.832
512,tangent-sse,2.328000000,2.309000000,2.376000000,2.902
512,tangent-sse2,2.323000000,2.321000000,2.370000000,2.111
512,tangent-sse3,2.280000000,2.278000000,2.340000000,2.722
512,tangent-ssse3,2.272000000,2.271000000,2.282000000,0.484
512,tangent-sse4.1,2.325000000,2.276000000,2.328000000,2.285
512,tangent-sse4.2,2.317000000,2.280000000,2.320000000,1.754
512,lane4-c,4.790000000,4.782000000,4.794000000,0.251
512,lane4-sse,1.082000000,1.082000000,1.118000000,3.327
512,lane4-sse2,1.087000000,1.084000000,1.114000000,2.768
512,lane4-sse3,1.082000000,1.081000000,1.087000000,0.555
512,lane4-ssse3,1.107000000,1.084000000,1.115000000,2.860
512,lane4-sse4.1,1.112000000,1.082000000,1.118000000,3.327
512,lane4-sse4.2,1.083000000,1.082000000,1.087000000,0.462
512,lane4-avx,0.586000000,0.585000000,0.610000000,4.274
512,lane4-avx-fma,0.558000000,0.557000000,0.559000000,0.359
512,lane4-avx2,0.595000000,0.587000000,0.598000000,1.874
512,lane4-avx2-fma,0.571000000,0.556000000,0.574000000,3.237
512,lane2-sse,1.135000000,1.131000000,1.160000000,2.564
512,ffmpeg-avtx,0.903000000,0.896000000,0.903000000,0.781
512,lane8-avx2-fma,0.692000000,0.671000000,0.695000000,3.577
512,hw-sse-auto,1.109000000,1.080000000,1.110000000,2.778
512,ffmpeg-sse,4.217000000,4.216000000,4.258000000,0.996
512,scaled-h16-hybrid,7.263000000,7.187000000,7.339000000,2.115
512,scaled-h16-paired-avx2,6.769000000,6.753000000,6.861000000,1.599
1024,radix-2,19.419000000,19.345000000,19.967000000,3.215
1024,split-radix,19.714500000,19.678000000,20.220000000,2.754
1024,tangent,12.249000000,12.243000000,12.740000000,4.059
1024,tangent-x86-asm,2.366000000,2.305000000,2.373000000,2.950
1024,tangent-sse,4.909000000,4.899000000,5.049000000,3.062
1024,tangent-sse2,4.905000000,4.899000000,5.022000000,2.511
1024,tangent-sse3,4.813000000,4.807000000,4.920000000,2.351
1024,tangent-ssse3,4.809000000,4.804000000,4.915000000,2.311
1024,tangent-sse4.1,4.810000000,4.798000000,4.918000000,2.501
1024,tangent-sse4.2,4.799000000,4.796000000,4.804000000,0.167
1024,lane4-c,10.635000000,10.632000000,10.641000000,0.085
1024,lane4-sse,2.228000000,2.225000000,2.293000000,3.056
1024,lane4-sse2,2.231000000,2.224000000,2.236000000,0.540
1024,lane4-sse3,2.226000000,2.224000000,2.227000000,0.135
1024,lane4-ssse3,2.234000000,2.227000000,2.240000000,0.584
