AVX2 gather versus scalar permutation (median cycles/copy)
       N     vgatherdpd   scalar loads  scalar gain
      16         21.715         21.411        1.42%
      32         40.286         37.496        7.44%
      64         76.016         71.261        6.67%
     128        148.630        144.480        2.87%
     256        293.207        282.283        3.87%
     512        579.135        630.853       -8.20%
    1024       1189.301       1183.499        0.49%
    2048       2407.208       3442.897      -30.08%
    4096       6649.090       7638.420      -12.95%
    8192      24524.662      23619.078        3.83%
