FFmpeg AVTX cycles/execute (median, adapter copies included)
         N  median cycles   iterations  samples
        16         89.267        65536       31
        32        125.462        32768       31
        64        268.856        16384       31
       128        504.076         8192       31
       256       1128.543         4096       31
       512       3537.438         2048       31
      1024       6171.023         1024       31
      2048      12455.527          512       31
      4096      29578.859          256       31
      8192     104826.906          128       31
