
Forward benchmarks (median execution time; plan/setup excluded)
FFmpeg AVTX native dispatch and an SSE4.2-and-below restricted plan are reported through N=131072.
         N  algorithm                   median us    speedup   theory FLOPs     GFLOP/s  samples
        16  radix-2                         0.168     1.000x            176       1.048    16384
        16  split-radix                     0.202     0.832x            168       0.832    16384
        16  tangent                         0.120     1.400x            168       1.400    16384
        16  tangent-x86-asm                 0.047     3.574x            168       3.574    16384
        16  tangent-sse                     0.084     2.000x            168       2.000    16384
        16  tangent-sse2                    0.083     2.024x            168       2.024    16384
        16  tangent-sse3                    0.084     2.000x            168       2.000    16384
        16  tangent-ssse3                   0.087     1.931x            168       1.931    16384
        16  tangent-sse4.1                  0.086     1.953x            168       1.953    16384
        16  tangent-sse4.2                  0.083     2.024x            168       2.024    16384
        16  lane4-c                         0.114     1.474x            n/a         n/a    16384
        16  lane4-sse                       0.047     3.574x            n/a         n/a    16384
        16  lane4-sse2                      0.046     3.652x            n/a         n/a    16384
        16  lane4-sse3                      0.050     3.360x            n/a         n/a    16384
        16  lane4-ssse3                     0.047     3.574x            n/a         n/a    16384
        16  lane4-sse4.1                    0.046     3.652x            n/a         n/a    16384
        16  lane4-sse4.2                    0.065     2.585x            n/a         n/a    16384
        16  lane4-avx                       0.053     3.170x            n/a         n/a    16384
        16  lane4-avx-fma                   0.038     4.421x            n/a         n/a    16384
        16  lane4-avx2                      0.038     4.421x            n/a         n/a    16384
        16  lane4-avx2-fma                  0.048     3.500x            n/a         n/a    16384
        16  lane2-sse                       0.045     3.733x            n/a         n/a    16384
        16  ffmpeg-avtx                     0.058     2.897x            n/a         n/a    16384
        16  lane8-avx2-fma                  0.049     3.429x            n/a         n/a    16384
        16  hw-sse-auto                     0.053     3.170x            n/a         n/a    16384
        16  ffmpeg-sse                      0.101     1.663x            n/a         n/a    16384
        16  scaled-h16-hybrid               0.197     0.853x            n/a         n/a    16384
        16  scaled-h16-paired-avx2          0.204     0.824x            n/a         n/a    16384

        32  radix-2                         0.358     1.000x            496       1.385    16384
        32  split-radix                     0.406     0.882x            456       1.123    16384
        32  tangent                         0.418     0.856x            456       1.091    16384
        32  tangent-x86-asm                 0.066     5.424x            456       6.909    16384
        32  tangent-sse                     0.140     2.557x            456       3.257    16384
        32  tangent-sse2                    0.143     2.503x            456       3.189    16384
        32  tangent-sse3                    0.229     1.563x            456       1.991    16384
        32  tangent-ssse3                   0.141     2.539x            456       3.234    16384
        32  tangent-sse4.1                  0.142     2.521x            456       3.211    16384
        32  tangent-sse4.2                  0.192     1.865x            456       2.375    16384
        32  lane4-c                         0.228     1.570x            n/a         n/a    16384
        32  lane4-sse                       0.073     4.904x            n/a         n/a    16384
        32  lane4-sse2                      0.074     4.838x            n/a         n/a    16384
        32  lane4-sse3                      0.076     4.711x            n/a         n/a    16384
        32  lane4-ssse3                     0.076     4.711x            n/a         n/a    16384
        32  lane4-sse4.1                    0.105     3.410x            n/a         n/a    16384
        32  lane4-sse4.2                    0.075     4.773x            n/a         n/a    16384
        32  lane4-avx                       0.052     6.885x            n/a         n/a    16384
        32  lane4-avx-fma                   0.051     7.020x            n/a         n/a    16384
        32  lane4-avx2                      0.051     7.020x            n/a         n/a    16384
        32  lane4-avx2-fma                  0.052     6.885x            n/a         n/a    16384
        32  lane2-sse                       0.069     5.188x            n/a         n/a    16384
        32  ffmpeg-avtx                     0.072     4.972x            n/a         n/a    16384
        32  lane8-avx2-fma                  0.074     4.838x            n/a         n/a    16384
        32  hw-sse-auto                     0.070     5.114x            n/a         n/a    16384
        32  ffmpeg-sse                      0.198     1.808x            n/a         n/a    16384
        32  scaled-h16-hybrid               0.385     0.930x            n/a         n/a    16384
        32  scaled-h16-paired-avx2          0.385     0.930x            n/a         n/a    16384

        64  radix-2                         0.789     1.000x           1296       1.643    16384
        64  split-radix                     0.928     0.850x           1160       1.250    16384
        64  tangent                         0.527     1.497x           1152       2.186    16384
        64  tangent-x86-asm                 0.114     6.921x           1152      10.105    16384
        64  tangent-sse                     0.249     3.169x           1152       4.627    16384
        64  tangent-sse2                    0.250     3.156x           1152       4.608    16384
