n,algorithm,median_us,minimum_us,samples,theoretical_flops,speedup_vs_radix2,checksum
16,radix-2,0.172000000,0.165000000,16384,176,1.000000,0.57389920949935913
16,split-radix,0.197000000,0.193000000,16384,168,0.873096,0.57389920949935913
16,tangent,0.120000000,0.117000000,16384,168,1.433333,0.57389920949935913
16,tangent-x86-asm,0.046000000,0.042000000,16384,168,3.739130,0.57389932870864868
16,tangent-sse,0.086000000,0.083000000,16384,168,2.000000,0.57389920949935913
16,tangent-sse2,0.086000000,0.080000000,16384,168,2.000000,0.57389920949935913
16,tangent-sse3,0.083000000,0.079000000,16384,168,2.072289,0.57389920949935913
16,tangent-ssse3,0.084000000,0.080000000,16384,168,2.047619,0.57389920949935913
16,tangent-sse4.1,0.083000000,0.080000000,16384,168,2.072289,0.57389920949935913
16,tangent-sse4.2,0.084000000,0.079000000,16384,168,2.047619,0.57389920949935913
16,lane4-c,0.114000000,0.110000000,16384,0,1.508772,0.57389926910400391
16,lane4-sse,0.046000000,0.043000000,16384,0,3.739130,0.57389926910400391
16,lane4-sse2,0.067000000,0.045000000,16384,0,2.567164,0.57389926910400391
16,lane4-sse3,0.046000000,0.044000000,16384,0,3.739130,0.57389926910400391
16,lane4-ssse3,0.046000000,0.043000000,16384,0,3.739130,0.57389926910400391
16,lane4-sse4.1,0.046000000,0.043000000,16384,0,3.739130,0.57389926910400391
16,lane4-sse4.2,0.056000000,0.045000000,16384,0,3.071429,0.57389926910400391
16,lane4-avx,0.053000000,0.037000000,16384,0,3.245283,0.57389926910400391
16,lane4-avx-fma,0.038000000,0.036000000,16384,0,4.526316,0.57389926910400391
16,lane4-avx2,0.038000000,0.035000000,16384,0,4.526316,0.57389926910400391
16,lane4-avx2-fma,0.038000000,0.035000000,16384,0,4.526316,0.57389926910400391
16,lane2-sse,0.067000000,0.044000000,16384,0,2.567164,0.57389920949935913
16,ffmpeg-avtx,0.059000000,0.056000000,16384,0,2.915254,0.57389920949935913
16,lane8-avx2-fma,0.049000000,0.044000000,16384,0,3.510204,0.57389932870864868
16,hw-sse-auto,0.048000000,0.044000000,16384,0,3.583333,0.57389920949935913
16,ffmpeg-sse,0.124000000,0.099000000,16384,0,1.387097,0.57389920949935913
16,scaled-h16-hybrid,0.203000000,0.199000000,16384,0,0.847291,0.57389920949935913
16,scaled-h16-paired-avx2,0.197000000,0.193000000,16384,0,0.873096,0.57389920949935913
32,radix-2,0.371000000,0.354000000,16384,496,1.000000,-4.2921977043151855
32,split-radix,0.549000000,0.413000000,16384,456,0.675774,-4.2921972274780273
32,tangent,0.395000000,0.292000000,16384,456,0.939241,-4.2921981811523438
32,tangent-x86-asm,0.067000000,0.063000000,16384,456,5.537313,-4.2921981811523438
32,tangent-sse,0.138000000,0.135000000,16384,456,2.688406,-4.2921981811523438
32,tangent-sse2,0.139000000,0.135000000,16384,456,2.669065,-4.2921981811523438
32,tangent-sse3,0.186000000,0.158000000,16384,456,1.994624,-4.2921981811523438
32,tangent-ssse3,0.141000000,0.137000000,16384,456,2.631206,-4.2921981811523438
32,tangent-sse4.1,0.140000000,0.136000000,16384,456,2.650000,-4.2921981811523438
32,tangent-sse4.2,0.141000000,0.137000000,16384,456,2.631206,-4.2921981811523438
32,lane4-c,0.220000000,0.217000000,16384,0,1.686364,-4.2921977043151855
32,lane4-sse,0.072000000,0.070000000,16384,0,5.152778,-4.2921972274780273
32,lane4-sse2,0.073000000,0.069000000,16384,0,5.082192,-4.2921972274780273
32,lane4-sse3,0.072000000,0.069000000,16384,0,5.152778,-4.2921972274780273
32,lane4-ssse3,0.119000000,0.077000000,16384,0,3.117647,-4.2921972274780273
32,lane4-sse4.1,0.087000000,0.072000000,16384,0,4.264368,-4.2921972274780273
32,lane4-sse4.2,0.073000000,0.070000000,16384,0,5.082192,-4.2921972274780273
32,lane4-avx,0.051000000,0.049000000,16384,0,7.274510,-4.2921977043151855
32,lane4-avx-fma,0.051000000,0.048000000,16384,0,7.274510,-4.2921977043151855
32,lane4-avx2,0.052000000,0.049000000,16384,0,7.134615,-4.2921977043151855
32,lane4-avx2-fma,0.065000000,0.050000000,16384,0,5.707692,-4.2921977043151855
32,lane2-sse,0.069000000,0.066000000,16384,0,5.376812,-4.2921972274780273
32,ffmpeg-avtx,0.074000000,0.068000000,16384,0,5.013514,-4.2921981811523438
32,lane8-avx2-fma,0.087000000,0.075000000,16384,0,4.264368,-4.2921977043151855
32,hw-sse-auto,0.070000000,0.067000000,16384,0,5.300000,-4.2921972274780273
32,ffmpeg-sse,0.192000000,0.185000000,16384,0,1.932292,-4.2921981811523438
32,scaled-h16-hybrid,0.387000000,0.382000000,16384,0,0.958656,-4.2921981811523438
32,scaled-h16-paired-avx2,0.387000000,0.382000000,16384,0,0.958656,-4.2921981811523438
64,radix-2,0.788000000,0.783000000,16384,1296,1.000000,10.391799926757812
64,split-radix,1.211000000,0.916000000,16384,1160,0.650702,10.391799926757812
64,tangent,0.530000000,0.522000000,16384,1152,1.486792,10.391799926757812
64,tangent-x86-asm,0.112000000,0.107000000,16384,1152,7.035714,10.391799926757812
64,tangent-sse,0.249000000,0.245000000,16384,1152,3.164659,10.391799926757812
64,tangent-sse2,0.249000000,0.244000000,16384,1152,3.164659,10.391799926757812
64,tangent-sse3,0.247000000,0.242000000,16384,1152,3.190283,10.391799926757812
64,tangent-ssse3,0.248000000,0.243000000,16384,1152,3.177419,10.391799926757812
64,tangent-sse4.1,0.255000000,0.245000000,16384,1152,3.090196,10.391799926757812
64,tangent-sse4.2,0.248000000,0.243000000,16384,1152,3.177419,10.391799926757812
64,lane4-c,0.461000000,0.455000000,16384,0,1.709328,10.391799926757812
64,lane4-sse,0.121000000,0.117000000,16384,0,6.512397,10.391799926757812
64,lane4-sse2,0.120000000,0.116000000,16384,0,6.566667,10.391799926757812
64,lane4-sse3,0.123000000,0.116000000,16384,0,6.406504,10.391799926757812
64,lane4-ssse3,0.121000000,0.117000000,16384,0,6.512397,10.391799926757812
64,lane4-sse4.1,0.120000000,0.117000000,16384,0,6.566667,10.391799926757812
64,lane4-sse4.2,0.125000000,0.120000000,16384,0,6.304000,10.391799926757812
64,lane4-avx,0.078000000,0.075000000,16384,0,10.102564,10.391799926757812
64,lane4-avx-fma,0.078000000,0.074000000,16384,0,10.102564,10.391799926757812
64,lane4-avx2,0.080000000,0.077000000,16384,0,9.850000,10.391799926757812
64,lane4-avx2-fma,0.078000000,0.074000000,16384,0,10.102564,10.391799926757812
64,lane2-sse,0.114000000,0.111000000,16384,0,6.912281,10.391799926757812
64,ffmpeg-avtx,0.125000000,0.121000000,16384,0,6.304000,10.391799926757812
64,lane8-avx2-fma,0.097000000,0.094000000,16384,0,8.123711,10.391800880432129
64,hw-sse-auto,0.119000000,0.116000000,16384,0,6.621849,10.391799926757812
64,ffmpeg-sse,0.562000000,0.369000000,16384,0,1.402135,10.391799926757812
64,scaled-h16-hybrid,0.769000000,0.750000000,16384,0,1.024707,10.391799926757812
64,scaled-h16-paired-avx2,0.803000000,0.753000000,16384,0,0.981320,10.391799926757812
128,radix-2,1.803000000,1.791000000,16384,3216,1.000000,-9.0348949432373047
128,split-radix,1.924000000,1.912000000,16384,2824,0.937110,-9.0348949432373047
128,tangent,1.193000000,1.145000000,16384,2792,1.511316,-9.0348968505859375
128,tangent-x86-asm,0.227000000,0.213000000,16384,2792,7.942731,-9.0348949432373047
128,tangent-sse,0.515000000,0.507000000,16384,2792,3.500971,-9.0348968505859375
128,tangent-sse2,0.515000000,0.505000000,16384,2792,3.500971,-9.0348968505859375
128,tangent-sse3,0.529000000,0.505000000,16384,2792,3.408318,-9.0348968505859375
128,tangent-ssse3,0.513000000,0.505000000,16384,2792,3.514620,-9.0348968505859375
128,tangent-sse4.1,0.527000000,0.505000000,16384,2792,3.421252,-9.0348968505859375
128,tangent-sse4.2,0.512000000,0.505000000,16384,2792,3.521484,-9.0348968505859375
128,lane4-c,0.982000000,0.973000000,16384,0,1.836049,-9.0348949432373047
128,lane4-sse,0.254000000,0.242000000,16384,0,7.098425,-9.0348968505859375
128,lane4-sse2,0.256000000,0.242000000,16384,0,7.042969,-9.0348968505859375
128,lane4-sse3,0.250000000,0.242000000,16384,0,7.212000,-9.0348968505859375
128,lane4-ssse3,0.248000000,0.241000000,16384,0,7.270161,-9.0348968505859375
128,lane4-sse4.1,0.358000000,0.281000000,16384,0,5.036313,-9.0348968505859375
128,lane4-sse4.2,0.258000000,0.250000000,16384,0,6.988372,-9.0348968505859375
128,lane4-avx,0.141000000,0.136000000,16384,0,12.787234,-9.0348958969116211
128,lane4-avx-fma,0.134000000,0.128000000,16384,0,13.455224,-9.0348949432373047
128,lane4-avx2,0.184000000,0.138000000,16384,0,9.798913,-9.0348958969116211
128,lane4-avx2-fma,0.142000000,0.132000000,16384,0,12.697183,-9.0348949432373047
128,lane2-sse,0.244000000,0.240000000,16384,0,7.389344,-9.0348949432373047
128,ffmpeg-avtx,0.208000000,0.199000000,16384,0,8.668269,-9.0348939895629883
128,lane8-avx2-fma,0.174000000,0.168000000,16384,0,10.362069,-9.0348949432373047
128,hw-sse-auto,0.251000000,0.237000000,16384,0,7.183267,-9.0348968505859375
128,ffmpeg-sse,0.882000000,0.828000000,16384,0,2.044218,-9.0348949432373047
128,scaled-h16-hybrid,1.625000000,1.526000000,16384,0,1.109538,-9.0348949432373047
128,scaled-h16-paired-avx2,1.562000000,1.527000000,16384,0,1.154289,-9.0348949432373047
256,radix-2,4.127000000,3.986000000,16384,7696,1.000000,-6.9076118469238281
256,split-radix,4.324000000,4.170000000,16384,6664,0.954440,-6.9076118469238281
256,tangent,2.592000000,2.567000000,16384,6552,1.592207,-6.9076118469238281
256,tangent-x86-asm,0.452000000,0.435000000,16384,6552,9.130531,-6.9076123237609863
256,tangent-sse,1.076000000,1.044000000,16384,6552,3.835502,-6.9076118469238281
256,tangent-sse2,1.072000000,1.046000000,16384,6552,3.849813,-6.9076118469238281
256,tangent-sse3,1.071000000,1.031000000,16384,6552,3.853408,-6.9076118469238281
256,tangent-ssse3,1.086000000,1.032000000,16384,6552,3.800184,-6.9076118469238281
256,tangent-sse4.1,1.049000000,1.030000000,16384,6552,3.934223,-6.9076118469238281
256,tangent-sse4.2,1.467000000,1.032000000,16384,6552,2.813224,-6.9076118469238281
256,lane4-c,2.156000000,2.143000000,16384,0,1.914193,-6.9076123237609863
256,lane4-sse,0.679000000,0.469000000,16384,0,6.078056,-6.9076118469238281
256,lane4-sse2,0.477000000,0.466000000,16384,0,8.651992,-6.9076118469238281
256,lane4-sse3,0.477000000,0.468000000,16384,0,8.651992,-6.9076118469238281
256,lane4-ssse3,0.646000000,0.467000000,16384,0,6.388545,-6.9076118469238281
256,lane4-sse4.1,0.491000000,0.467000000,16384,0,8.405295,-6.9076118469238281
256,lane4-sse4.2,0.477000000,0.467000000,16384,0,8.651992,-6.9076118469238281
256,lane4-avx,0.267000000,0.260000000,16384,0,15.456929,-6.9076118469238281
256,lane4-avx-fma,0.247000000,0.236000000,16384,0,16.708502,-6.9076104164123535
256,lane4-avx2,0.258000000,0.250000000,16384,0,15.996124,-6.9076118469238281
256,lane4-avx2-fma,0.247000000,0.241000000,16384,0,16.708502,-6.9076104164123535
256,lane2-sse,0.489000000,0.483000000,16384,0,8.439673,-6.9076118469238281
256,ffmpeg-avtx,0.417000000,0.405000000,16384,0,9.896882,-6.9076108932495117
256,lane8-avx2-fma,0.352000000,0.335000000,16384,0,11.724432,-6.9076089859008789
256,hw-sse-auto,0.630000000,0.465000000,16384,0,6.550794,-6.9076118469238281
256,ffmpeg-sse,1.940000000,1.879000000,16384,0,2.127320,-6.9076104164123535
256,scaled-h16-hybrid,3.284000000,3.226000000,16384,0,1.256699,-6.9076108932495117
256,scaled-h16-paired-avx2,3.284000000,3.229000000,16384,0,1.256699,-6.9076108932495117
512,radix-2,8.850000000,8.794000000,9655,17936,1.000000,-24.924806594848633
512,split-radix,9.107000000,9.042000000,9492,15368,0.971780,-24.924808502197266
512,tangent,5.767000000,5.549000000,15375,15048,1.534593,-24.924806594848633
