n,algorithm,median_us,minimum_us,samples,theoretical_flops,speedup_vs_radix2,checksum
1024,tangent-sse3,4.920000000,4.727000000,16384,33968,3.946951,-15.031410217285156
1024,tangent-ssse3,4.804000000,4.733000000,16384,33968,4.042256,-15.031410217285156
1024,tangent-sse4.1,4.810000000,4.728000000,16384,33968,4.037214,-15.031410217285156
1024,tangent-sse4.2,4.804000000,4.735000000,16384,33968,4.042256,-15.031410217285156
1024,lane4-c,10.632000000,10.550000000,7730,0,1.826467,-15.031412124633789
1024,lane4-sse,2.225000000,2.200000000,16384,0,8.727640,-15.031410217285156
1024,lane4-sse2,2.236000000,2.168000000,16384,0,8.684705,-15.031410217285156
1024,lane4-sse3,2.226000000,2.201000000,16384,0,8.723720,-15.031410217285156
1024,lane4-ssse3,2.227000000,2.164000000,16384,0,8.719802,-15.031410217285156
1024,lane4-sse4.1,2.228000000,2.201000000,16384,0,8.715889,-15.031410217285156
1024,lane4-sse4.2,2.224000000,2.166000000,16384,0,8.731565,-15.031410217285156
1024,lane4-avx,1.554000000,1.440000000,16384,0,12.496139,-15.031410217285156
1024,lane4-avx-fma,1.451000000,1.326000000,16384,0,13.383184,-15.031410217285156
1024,lane4-avx2,1.534000000,1.430000000,16384,0,12.659061,-15.031410217285156
1024,lane4-avx2-fma,1.459000000,1.328000000,16384,0,13.309801,-15.031410217285156
1024,lane2-sse,2.441000000,2.398000000,16384,0,7.955346,-15.031410217285156
1024,ffmpeg-avtx,2.119000000,2.025000000,16384,0,9.164228,-15.031406402587891
1024,lane8-avx2-fma,1.569000000,1.537000000,16384,0,12.376673,-15.031410217285156
1024,hw-sse-auto,2.289000000,2.198000000,16384,0,8.483617,-15.031410217285156
1024,ffmpeg-sse,10.453000000,9.254000000,9107,0,1.857744,-15.031408309936523
1024,scaled-h16-hybrid,15.866000000,15.676000000,5553,0,1.223938,-15.031408309936523
1024,scaled-h16-paired-avx2,13.632000000,13.485000000,6451,0,1.424516,-15.031408309936523
2048,radix-2,42.136000000,41.810000000,1981,92176,1.000000,-82.4429931640625
2048,split-radix,42.601000000,42.402000000,2041,77832,0.989085,-82.4429931640625
2048,tangent,25.967000000,25.757000000,3259,75688,1.622675,-82.442985534667969
2048,tangent-x86-asm,4.747000000,4.575000000,16384,75688,8.876343,-82.442985534667969
2048,tangent-sse,10.358000000,10.156000000,8603,75688,4.067967,-82.442985534667969
2048,tangent-sse2,10.376000000,10.153000000,7879,75688,4.060910,-82.442985534667969
2048,tangent-sse3,10.415000000,9.968000000,8073,75688,4.045703,-82.442985534667969
2048,tangent-ssse3,10.414000000,9.973000000,8162,75688,4.046092,-82.442985534667969
2048,tangent-sse4.1,10.162000000,9.973000000,8015,75688,4.146428,-82.442985534667969
2048,tangent-sse4.2,10.149000000,9.976000000,8043,75688,4.151739,-82.442985534667969
2048,lane4-c,23.177000000,23.039000000,3569,0,1.818009,-82.4429931640625
2048,lane4-sse,6.214000000,5.935000000,13817,0,6.780818,-82.4429931640625
2048,lane4-sse2,6.139000000,5.889000000,13523,0,6.863659,-82.4429931640625
2048,lane4-sse3,6.135500000,5.905000000,13896,0,6.867574,-82.4429931640625
2048,lane4-ssse3,6.222000000,5.924000000,13982,0,6.772099,-82.4429931640625
2048,lane4-sse4.1,6.235000000,5.903000000,13378,0,6.757979,-82.4429931640625
2048,lane4-sse4.2,6.223000000,5.910000000,14576,0,6.771011,-82.4429931640625
2048,lane4-avx,4.333000000,4.111000000,16384,0,9.724440,-82.4429931640625
2048,lane4-avx-fma,4.367000000,4.079000000,16384,0,9.648729,-82.4429931640625
2048,lane4-avx2,4.270000000,4.081000000,16384,0,9.867916,-82.4429931640625
2048,lane4-avx2-fma,4.114000000,3.895000000,16384,0,10.242100,-82.4429931640625
2048,lane2-sse,6.185000000,5.935000000,15143,0,6.812611,-82.4429931640625
2048,ffmpeg-avtx,4.361000000,4.221000000,16384,0,9.662004,-82.442985534667969
2048,lane8-avx2-fma,3.539000000,3.433000000,16384,0,11.906188,-82.4429931640625
2048,hw-sse-auto,6.121000000,5.900000000,14761,0,6.883843,-82.4429931640625
2048,ffmpeg-sse,20.158000000,20.015000000,4332,0,2.090287,-82.4429931640625
2048,scaled-h16-hybrid,34.679000000,34.210000000,2645,0,1.215029,-82.4429931640625
2048,scaled-h16-paired-avx2,28.571000000,28.267000000,3223,0,1.474782,-82.4429931640625
4096,radix-2,93.791000000,91.414000000,908,204816,1.000000,-8.3144569396972656
4096,split-radix,92.659500000,92.333000000,936,172040,1.012211,-8.3144607543945312
4096,tangent,57.448000000,55.248000000,1373,166856,1.632624,-8.3144645690917969
4096,tangent-x86-asm,11.368000000,10.961000000,7964,166856,8.250440,-8.3144626617431641
