FFT cycles/execute (median; public in-place API)
         N algorithm           median cycles   iterations
        16 lane4-avx2-fma             48.148       131072
        16 lane2-sse                  63.830       131072
        16 lane4-sse                  68.066       131072
        16 hw-sse-auto                64.849       131072
        16 tangent-x86-asm            68.415       131072
        16 tangent-sse               188.120       131072
        16 tangent-sse3              168.398       131072
        16 ffmpeg-avtx                91.739       131072
        16 ffmpeg-sse                210.960       131072
        32 lane4-avx2-fma             79.029        65536
        32 lane2-sse                 136.578        65536
        32 lane4-sse                 146.710        65536
        32 hw-sse-auto               144.243        65536
        32 tangent-x86-asm           136.735        65536
        32 tangent-sse               336.922        65536
        32 tangent-sse3              512.950        65536
        32 ffmpeg-avtx               194.161        65536
        32 ffmpeg-sse                548.747        65536
        64 lane4-avx2-fma            160.065        32768
        64 lane2-sse                 259.928        32768
        64 lane4-sse                 298.005        32768
        64 hw-sse-auto               269.974        32768
        64 tangent-x86-asm           261.798        32768
        64 tangent-sse               665.395        32768
        64 tangent-sse3              643.597        32768
        64 ffmpeg-avtx               284.966        32768
        64 ffmpeg-sse               1088.659        32768
       128 lane4-avx2-fma            306.964        16384
       128 lane2-sse                 618.423        16384
       128 lane4-sse                 624.901        16384
       128 hw-sse-auto               602.637        16384
       128 tangent-x86-asm           560.845        16384
       128 tangent-sse              1415.233        16384
       128 tangent-sse3             1447.691        16384
       128 ffmpeg-avtx               514.104        16384
       128 ffmpeg-sse               2523.962        16384
       256 lane4-avx2-fma            618.613         8192
       256 lane2-sse                1311.551         8192
       256 lane4-sse                1266.287         8192
       256 hw-sse-auto              1255.650         8192
       256 tangent-x86-asm          1242.840         8192
       256 tangent-sse              3162.392         8192
       256 tangent-sse3             3021.791         8192
       256 ffmpeg-avtx              1149.683         8192
       256 ffmpeg-sse               6000.827         8192
       512 lane4-avx2-fma           1462.908         4096
       512 lane2-sse                3230.148         4096
       512 lane4-sse                3039.476         4096
       512 hw-sse-auto              2987.341         4096
       512 tangent-x86-asm          2921.115         4096
       512 tangent-sse              6543.611         4096
       512 tangent-sse3             6760.858         4096
       512 ffmpeg-avtx              2420.090         4096
       512 ffmpeg-sse              12409.191         4096
      1024 lane4-avx2-fma           3305.326         2048
      1024 lane2-sse                7281.829         2048
      1024 lane4-sse                6320.467         2048
      1024 hw-sse-auto              6310.333         2048
      1024 tangent-x86-asm          6376.220         2048
      1024 tangent-sse             13974.501         2048
      1024 tangent-sse3            13931.076         2048
      1024 ffmpeg-avtx              5556.357         2048
      1024 ffmpeg-sse              27751.084         2048
      2048 lane4-avx2-fma           9181.143         1024
      2048 lane2-sse               18097.693         1024
      2048 lane4-sse               15105.791         1024
      2048 hw-sse-auto             15404.984         1024
      2048 tangent-x86-asm         13722.344         1024
      2048 tangent-sse             29924.225         1024
      2048 tangent-sse3            28947.041         1024
      2048 ffmpeg-avtx             12612.973         1024
      2048 ffmpeg-sse              66170.332         1024
      4096 lane4-avx2-fma          21440.816          512
      4096 lane2-sse               38674.988          512
      4096 lane4-sse               32810.000          512
      4096 hw-sse-auto             33006.234          512
      4096 tangent-x86-asm         32066.074          512
      4096 tangent-sse             65588.082          512
      4096 tangent-sse3            63601.266          512
      4096 ffmpeg-avtx             30134.316          512
      4096 ffmpeg-sse             132704.660          512
      8192 lane4-avx2-fma          50598.297          256
      8192 lane2-sse               91238.602          256
      8192 lane4-sse               78765.930          256
      8192 hw-sse-auto             76636.812          256
      8192 tangent-x86-asm         76530.961          256
      8192 tangent-sse            156759.781          256
      8192 tangent-sse3           151262.289          256
      8192 ffmpeg-avtx             73929.805          256
      8192 ffmpeg-sse             316108.773          256
