Lane4 comparison cycles/execute (median; public in-place API)
         N algorithm           median cycles   iterations
        16 lane4-avx                  46.600       131072
        16 lane4-avx-fma              47.863       131072
        16 lane4-avx2                 47.155       131072
        16 lane4-avx2-fma             48.922       131072
        16 lane4-sse                  70.697       131072
        16 ffmpeg-avtx                92.447       131072
        32 lane4-avx                  77.761        65536
        32 lane4-avx-fma              78.229        65536
        32 lane4-avx2                 77.844        65536
        32 lane4-avx2-fma             77.090        65536
        32 lane4-sse                 144.795        65536
        32 ffmpeg-avtx               147.283        65536
        64 lane4-avx                 163.501        32768
        64 lane4-avx-fma             158.948        32768
        64 lane4-avx2                161.684        32768
        64 lane4-avx2-fma            162.868        32768
        64 lane4-sse                 297.333        32768
        64 ffmpeg-avtx               287.200        32768
       128 lane4-avx                 325.082        16384
       128 lane4-avx-fma             308.490        16384
       128 lane4-avx2                328.238        16384
       128 lane4-avx2-fma            301.689        16384
       128 lane4-sse                 640.615        16384
       128 ffmpeg-avtx               523.103        16384
       256 lane4-avx                 697.360         8192
       256 lane4-avx-fma             645.088         8192
       256 lane4-avx2                667.872         8192
       256 lane4-avx2-fma            648.045         8192
       256 lane4-sse                1320.741         8192
       256 ffmpeg-avtx              1100.330         8192
       512 lane4-avx                1490.221         4096
       512 lane4-avx-fma            1521.842         4096
       512 lane4-avx2               1550.309         4096
       512 lane4-avx2-fma           1440.571         4096
       512 lane4-sse                3279.188         4096
       512 ffmpeg-avtx              2410.368         4096
      1024 lane4-avx                3631.922         2048
      1024 lane4-avx-fma            3348.771         2048
      1024 lane4-avx2               3532.281         2048
      1024 lane4-avx2-fma           3309.346         2048
      1024 lane4-sse                6105.014         2048
      1024 ffmpeg-avtx              5444.703         2048
      2048 lane4-avx                9671.840         1024
      2048 lane4-avx-fma            9571.301         1024
      2048 lane4-avx2               9359.936         1024
      2048 lane4-avx2-fma           8904.705         1024
      2048 lane4-sse               14993.523         1024
      2048 ffmpeg-avtx             12397.287         1024
      4096 lane4-avx               22450.754          512
      4096 lane4-avx-fma           22061.992          512
      4096 lane4-avx2              22161.527          512
      4096 lane4-avx2-fma          21335.703          512
      4096 lane4-sse               33589.723          512
      4096 ffmpeg-avtx             31984.215          512
      8192 lane4-avx               50085.383          256
      8192 lane4-avx-fma           50139.445          256
      8192 lane4-avx2              52029.164          256
      8192 lane4-avx2-fma          53918.219          256
      8192 lane4-sse               75876.227          256
      8192 ffmpeg-avtx             80378.617          256
