FFmpeg AVTX cycles/execute (median, adapter copies included)
         N  median cycles   iterations  samples
        16         93.089        65536       31
        32        138.194        32768       31
        64        281.261        16384       31
       128        523.780         8192       31
       256       1493.518         4096       31
       512       2462.946         2048       31
      1024       5340.252         1024       31
      2048      12060.875          512       31
      4096      29493.539          256       31
      8192      84732.688          128       31
