FFmpeg AVTX cycles/execute (median, adapter copies included)
         N  median cycles   iterations  samples
        16         89.439        65536       31
        32        128.317        32768       31
        64        275.884        16384       31
       128        517.735         8192       31
       256       1114.441         4096       31
       512       2337.976         2048       31
      1024       5258.705         1024       31
      2048      14427.230          512       31
      4096      29825.352          256       31
      8192      70732.391          128       31
