AVX2 gather versus scalar permutation (median cycles/copy)
       N     vgatherdpd   scalar loads  scalar gain
      16         21.833         19.658       11.06%
      32         40.352         36.998        9.06%
      64         75.648         75.183        0.62%
     128        147.422        142.484        3.47%
     256        291.737        280.484        4.01%
     512        577.381        601.479       -4.01%
    1024       1152.442       1175.231       -1.94%
    2048       2297.357       2427.196       -5.35%
    4096       5683.965       5803.988       -2.07%
    8192      21808.145      23086.627       -5.54%
