FFmpeg AVTX cycles/execute (median, adapter copies included)
         N  median cycles   iterations  samples
        16         88.113        65536       31
        32        125.994        32768       31
        64        271.523        16384       31
       128        504.132         8192       31
       256       1171.869         4096       31
       512       2326.923         2048       31
      1024       5429.309         1024       31
      2048      12274.027          512       31
      4096      29394.570          256       31
      8192      74364.297          128       31
