FFmpeg AVTX cycles/execute (median, adapter copies included)
         N  median cycles   iterations  samples
        16         89.436        65536       31
        32        130.074        32768       31
        64        383.817        16384       31
       128        498.305         8192       31
       256       1104.255         4096       31
       512       2293.074         2048       31
      1024       5229.834         1024       31
      2048      12411.449          512       31
      4096      29188.422          256       31
      8192      72902.578          128       31
