FFT cycles/execute (median; public in-place API)
         N algorithm           median cycles   iterations
        16 lane4-avx2-fma             47.476       131072
        16 lane2-sse                  62.782       131072
        16 lane4-sse                  68.960       131072
        16 hw-sse-auto                65.055       131072
        16 tangent-x86-asm            67.754       131072
        16 tangent-sse               170.911       131072
        16 tangent-sse3              166.321       131072
        16 ffmpeg-avtx                90.175       131072
        16 ffmpeg-sse                213.212       131072
        32 lane4-avx2-fma             77.239        65536
        32 lane2-sse                 132.905        65536
        32 lane4-sse                 142.654        65536
        32 hw-sse-auto               144.927        65536
        32 tangent-x86-asm           131.787        65536
        32 tangent-sse               343.375        65536
        32 tangent-sse3              344.495        65536
        32 ffmpeg-avtx               149.144        65536
        32 ffmpeg-sse                514.231        65536
        64 lane4-avx2-fma            153.442        32768
        64 lane2-sse                 263.023        32768
        64 lane4-sse                 286.993        32768
        64 hw-sse-auto               262.810        32768
        64 tangent-x86-asm           254.934        32768
        64 tangent-sse               634.469        32768
        64 tangent-sse3              650.182        32768
        64 ffmpeg-avtx               277.621        32768
        64 ffmpeg-sse               1081.125        32768
       128 lane4-avx2-fma            305.217        16384
       128 lane2-sse                 617.946        16384
       128 lane4-sse                 604.965        16384
       128 hw-sse-auto               604.198        16384
       128 tangent-x86-asm           560.980        16384
       128 tangent-sse              1431.858        16384
       128 tangent-sse3             1398.732        16384
       128 ffmpeg-avtx               505.804        16384
       128 ffmpeg-sse               2422.199        16384
       256 lane4-avx2-fma            634.135         8192
       256 lane2-sse                1349.089         8192
       256 lane4-sse                1250.544         8192
       256 hw-sse-auto              1259.177         8192
       256 tangent-x86-asm          1169.904         8192
       256 tangent-sse              2953.104         8192
       256 tangent-sse3             2900.435         8192
       256 ffmpeg-avtx              1108.200         8192
       256 ffmpeg-sse               5805.071         8192
       512 lane4-avx2-fma           1430.258         4096
       512 lane2-sse                3292.148         4096
       512 lane4-sse                3113.836         4096
       512 hw-sse-auto              2967.573         4096
       512 tangent-x86-asm          2832.512         4096
       512 tangent-sse              6512.102         4096
       512 tangent-sse3             6234.330         4096
       512 ffmpeg-avtx              2330.987         4096
       512 ffmpeg-sse              12004.441         4096
      1024 lane4-avx2-fma           3275.812         2048
      1024 lane2-sse                7470.918         2048
      1024 lane4-sse                6106.918         2048
      1024 hw-sse-auto              6077.327         2048
      1024 tangent-x86-asm          6551.964         2048
      1024 tangent-sse             14338.998         2048
      1024 tangent-sse3            13526.266         2048
      1024 ffmpeg-avtx              5426.247         2048
      1024 ffmpeg-sse              28255.424         2048
      2048 lane4-avx2-fma           8906.072         1024
      2048 lane2-sse               16900.434         1024
      2048 lane4-sse               14784.781         1024
      2048 hw-sse-auto             15017.533         1024
      2048 tangent-x86-asm         13923.426         1024
      2048 tangent-sse             28871.914         1024
      2048 tangent-sse3            28717.125         1024
      2048 ffmpeg-avtx             12401.900         1024
      2048 ffmpeg-sse              60930.111         1024
      4096 lane4-avx2-fma          22773.691          512
      4096 lane2-sse               37540.828          512
      4096 lane4-sse               32255.137          512
      4096 hw-sse-auto             33421.949          512
      4096 tangent-x86-asm         33192.820          512
      4096 tangent-sse             64886.605          512
      4096 tangent-sse3            67371.383          512
      4096 ffmpeg-avtx             29719.664          512
      4096 ffmpeg-sse             132007.555          512
      8192 lane4-avx2-fma          48458.250          256
      8192 lane2-sse               88264.211          256
      8192 lane4-sse               78086.562          256
      8192 hw-sse-auto             77000.742          256
      8192 tangent-x86-asm         78093.688          256
      8192 tangent-sse            150591.711          256
      8192 tangent-sse3           143050.281          256
      8192 ffmpeg-avtx             71404.375          256
      8192 ffmpeg-sse             282041.430          256
