FFmpeg AVTX cycles/execute (median, adapter copies included)
         N  median cycles   iterations  samples
        16         87.237        65536       31
        32        124.085        32768       31
        64        269.938        16384       31
       128        482.631         8192       31
       256       1103.687         4096       31
       512       2225.531         2048       31
      1024       5268.412         1024       31
      2048      12208.383          512       31
      4096      28958.922          256       31
      8192      65298.797          128       31
