Lane4 comparison cycles/execute (median; public in-place API)
         N algorithm           median cycles   iterations
        16 lane4-avx                  47.161       131072
        16 lane4-avx-fma              46.646       131072
        16 lane4-avx2                 47.086       131072
        16 lane4-avx2-fma             46.240       131072
        16 lane4-sse                  71.420       131072
        16 ffmpeg-avtx                92.015       131072
        32 lane4-avx                  77.265        65536
        32 lane4-avx-fma              77.671        65536
        32 lane4-avx2                 76.273        65536
        32 lane4-avx2-fma             77.749        65536
        32 lane4-sse                 143.420        65536
        32 ffmpeg-avtx               137.041        65536
        64 lane4-avx                 167.523        32768
        64 lane4-avx-fma             158.683        32768
        64 lane4-avx2                167.396        32768
        64 lane4-avx2-fma            153.457        32768
        64 lane4-sse                 291.300        32768
        64 ffmpeg-avtx               281.850        32768
       128 lane4-avx                 315.838        16384
       128 lane4-avx-fma             316.931        16384
       128 lane4-avx2                315.111        16384
       128 lane4-avx2-fma            302.851        16384
       128 lane4-sse                 614.687        16384
       128 ffmpeg-avtx               506.626        16384
       256 lane4-avx                 690.651         8192
       256 lane4-avx-fma             623.750         8192
       256 lane4-avx2                662.746         8192
       256 lane4-avx2-fma            620.996         8192
       256 lane4-sse                1253.186         8192
       256 ffmpeg-avtx              1087.198         8192
       512 lane4-avx                1559.004         4096
       512 lane4-avx-fma            1427.632         4096
       512 lane4-avx2               1491.585         4096
       512 lane4-avx2-fma           1401.511         4096
       512 lane4-sse                2967.425         4096
       512 ffmpeg-avtx              2320.730         4096
      1024 lane4-avx                3512.068         2048
      1024 lane4-avx-fma            3258.049         2048
      1024 lane4-avx2               3567.516         2048
      1024 lane4-avx2-fma           3354.094         2048
      1024 lane4-sse                6188.388         2048
      1024 ffmpeg-avtx              5429.747         2048
      2048 lane4-avx                9031.531         1024
      2048 lane4-avx-fma            8701.723         1024
      2048 lane4-avx2               8620.355         1024
      2048 lane4-avx2-fma           8928.797         1024
      2048 lane4-sse               14194.961         1024
      2048 ffmpeg-avtx             11907.383         1024
      4096 lane4-avx               21622.207          512
      4096 lane4-avx-fma           20900.812          512
      4096 lane4-avx2              21301.922          512
      4096 lane4-avx2-fma          21975.145          512
      4096 lane4-sse               31788.910          512
      4096 ffmpeg-avtx             30118.910          512
      8192 lane4-avx               47840.367          256
      8192 lane4-avx-fma           49169.734          256
      8192 lane4-avx2              50498.703          256
      8192 lane4-avx2-fma          48381.820          256
      8192 lane4-sse               73752.297          256
      8192 ffmpeg-avtx             71699.297          256
