Lane4 comparison cycles/execute (median; public in-place API)
         N algorithm           median cycles   iterations
        16 lane4-avx                  46.253       131072
        16 lane4-avx-fma              45.977       131072
        16 lane4-avx2                 45.934       131072
        16 lane4-avx2-fma             46.369       131072
        16 lane4-sse                  73.526       131072
        16 ffmpeg-avtx                93.325       131072
        32 lane4-avx                  81.154        65536
        32 lane4-avx-fma              78.826        65536
        32 lane4-avx2                 76.817        65536
        32 lane4-avx2-fma             77.831        65536
        32 lane4-sse                 149.203        65536
        32 ffmpeg-avtx               145.359        65536
        64 lane4-avx                 164.694        32768
        64 lane4-avx-fma             169.335        32768
        64 lane4-avx2                166.585        32768
        64 lane4-avx2-fma            155.015        32768
        64 lane4-sse                 303.129        32768
        64 ffmpeg-avtx               280.055        32768
       128 lane4-avx                 329.787        16384
       128 lane4-avx-fma             319.859        16384
       128 lane4-avx2                320.529        16384
       128 lane4-avx2-fma            313.474        16384
       128 lane4-sse                 641.374        16384
       128 ffmpeg-avtx               511.551        16384
       256 lane4-avx                 675.413         8192
       256 lane4-avx-fma             627.211         8192
       256 lane4-avx2                658.932         8192
       256 lane4-avx2-fma            614.528         8192
       256 lane4-sse                1316.570         8192
       256 ffmpeg-avtx              1106.533         8192
       512 lane4-avx                1506.367         4096
       512 lane4-avx-fma            1428.776         4096
       512 lane4-avx2               1526.441         4096
       512 lane4-avx2-fma           1442.205         4096
       512 lane4-sse                2985.599         4096
       512 ffmpeg-avtx              2340.792         4096
      1024 lane4-avx                3507.176         2048
      1024 lane4-avx-fma            3319.643         2048
      1024 lane4-avx2               3639.324         2048
      1024 lane4-avx2-fma           3314.321         2048
      1024 lane4-sse                6503.870         2048
      1024 ffmpeg-avtx              5496.354         2048
      2048 lane4-avx                9426.809         1024
      2048 lane4-avx-fma            9202.807         1024
      2048 lane4-avx2               9536.295         1024
      2048 lane4-avx2-fma           9095.660         1024
      2048 lane4-sse               14857.295         1024
      2048 ffmpeg-avtx             12416.656         1024
      4096 lane4-avx               21741.523          512
      4096 lane4-avx-fma           21449.324          512
      4096 lane4-avx2              22191.660          512
      4096 lane4-avx2-fma          21396.453          512
      4096 lane4-sse               32508.332          512
      4096 ffmpeg-avtx             30062.945          512
      8192 lane4-avx               50361.008          256
      8192 lane4-avx-fma           50257.297          256
      8192 lane4-avx2              52564.445          256
      8192 lane4-avx2-fma          50540.273          256
      8192 lane4-sse               73816.617          256
      8192 ffmpeg-avtx             71190.578          256
